"","mean_test_score","std_test_score","param_model"
"2",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"3",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"4",0.96,0.032659863237109,"KNeighborsClassifier"
"5",0.973333333333333,0.0249443825784929,"KNeighborsClassifier"
"6",0.96,0.0249443825784929,"KNeighborsClassifier"
"7",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"8",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"9",0.886666666666667,0.0339934634239519,"KNeighborsClassifier"
"10",0.886666666666667,0.0339934634239519,"KNeighborsClassifier"
"11",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"12",0.94,0.0249443825784929,"KNeighborsClassifier"
"13",0.96,0.032659863237109,"KNeighborsClassifier"
"14",0.873333333333333,0.0442216638714053,"KNeighborsClassifier"
"15",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"16",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"17",0.906666666666667,0.0249443825784929,"KNeighborsClassifier"
"18",0.94,0.038873012632302,"KNeighborsClassifier"
"19",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"20",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"21",0.94,0.038873012632302,"KNeighborsClassifier"
"22",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"23",0.94,0.038873012632302,"KNeighborsClassifier"
"24",0.906666666666667,0.038873012632302,"KNeighborsClassifier"
"25",0.96,0.032659863237109,"KNeighborsClassifier"
"26",0.873333333333333,0.0442216638714053,"KNeighborsClassifier"
"27",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"28",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"29",0.96,0.0249443825784929,"KNeighborsClassifier"
"30",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"31",0.96,0.032659863237109,"KNeighborsClassifier"
"32",0.906666666666667,0.038873012632302,"KNeighborsClassifier"
"33",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"34",0.926666666666667,0.0249443825784929,"KNeighborsClassifier"
"35",0.973333333333333,0.0249443825784929,"KNeighborsClassifier"
"36",0.96,0.032659863237109,"KNeighborsClassifier"
"37",0.96,0.032659863237109,"KNeighborsClassifier"
"38",0.96,0.032659863237109,"KNeighborsClassifier"
"39",0.906666666666667,0.038873012632302,"KNeighborsClassifier"
"40",0.906666666666667,0.038873012632302,"KNeighborsClassifier"
"41",0.94,0.0249443825784929,"KNeighborsClassifier"
"42",0.96,0.032659863237109,"KNeighborsClassifier"
"43",0.953333333333333,0.0452155332208351,"KNeighborsClassifier"
"44",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"45",0.96,0.0249443825784929,"KNeighborsClassifier"
"46",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"47",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"48",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"49",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"50",0.94,0.038873012632302,"KNeighborsClassifier"
"51",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"52",0.966666666666667,0.0298142396999972,"LogisticRegression"
"53",0.953333333333333,0.0339934634239519,"LogisticRegression"
"54",0.973333333333333,0.032659863237109,"LogisticRegression"
"55",0.926666666666667,0.0573488351136175,"LogisticRegression"
"56",0.926666666666667,0.0573488351136175,"LogisticRegression"
"57",0.973333333333333,0.032659863237109,"LogisticRegression"
"58",0.94,0.038873012632302,"LogisticRegression"
"59",0.953333333333333,0.0339934634239519,"LogisticRegression"
"60",0.96,0.0249443825784929,"LogisticRegression"
"61",0.973333333333333,0.032659863237109,"LogisticRegression"
"62",0.973333333333333,0.032659863237109,"LogisticRegression"
"63",0.966666666666667,0.0298142396999972,"LogisticRegression"
"64",0.96,0.038873012632302,"LogisticRegression"
"65",0.973333333333333,0.032659863237109,"LogisticRegression"
"66",0.94,0.038873012632302,"LogisticRegression"
"67",0.96,0.0249443825784929,"LogisticRegression"
"68",0.96,0.038873012632302,"LogisticRegression"
"69",0.926666666666667,0.0573488351136175,"LogisticRegression"
"70",0.973333333333333,0.032659863237109,"LogisticRegression"
"71",0.953333333333333,0.0339934634239519,"LogisticRegression"
"72",0.973333333333333,0.032659863237109,"LogisticRegression"
"73",0.973333333333333,0.032659863237109,"LogisticRegression"
"74",0.973333333333333,0.032659863237109,"LogisticRegression"
"75",0.953333333333333,0.0339934634239519,"LogisticRegression"
"76",0.973333333333333,0.032659863237109,"LogisticRegression"
"77",0.953333333333333,0.0339934634239519,"LogisticRegression"
"78",0.953333333333333,0.0339934634239519,"LogisticRegression"
"79",0.94,0.038873012632302,"LogisticRegression"
"80",0.953333333333333,0.0339934634239519,"LogisticRegression"
"81",0.96,0.038873012632302,"LogisticRegression"
"82",0.973333333333333,0.032659863237109,"LogisticRegression"
"83",0.926666666666667,0.0573488351136175,"LogisticRegression"
"84",0.973333333333333,0.032659863237109,"LogisticRegression"
"85",0.973333333333333,0.032659863237109,"LogisticRegression"
"86",0.96,0.038873012632302,"LogisticRegression"
"87",0.96,0.038873012632302,"LogisticRegression"
"88",0.973333333333333,0.032659863237109,"LogisticRegression"
"89",0.946666666666667,0.0339934634239519,"LogisticRegression"
